"ensembl"	"gene"	"Chromosome"	"Start"	"End"
"ENSG00000123810"	"B9D2"	"chr19"	41354417	41364165
"ENSG00000177191"	"B3GNT8"	"chr19"	41425359	41428730
"ENSG00000269800"	"PLEKHA3P1"	"chr19"	41521043	41521989
"ENSG00000007129"	"CEACAM21"	"chr19"	41549518	41586844
"ENSG00000105352"	"CEACAM4"	"chr19"	41618971	41627074
"ENSG00000007306"	"CEACAM7"	"chr19"	41673303	41706976
"ENSG00000105388"	"CEACAM5"	"chr19"	41708585	41730433
"ENSG00000086548"	"CEACAM6"	"chr19"	41750977	41772211
"ENSG00000170956"	"CEACAM3"	"chr19"	41796587	41811554
"ENSG00000273111"	"LYPD4"	"chr19"	41837074	41844697
"ENSG00000142025"	"DMRTC2"	"chr19"	41844743	41852333
"ENSG00000105369"	"CD79A"	"chr19"	41877279	41881372
"ENSG00000076928"	"ARHGEF1"	"chr19"	41883173	41930150
"ENSG00000268041"	"ERFL"	"chr19"	41907704	41928449
"ENSG00000105409"	"ATP1A3"	"chr19"	41966582	41997497
"ENSG00000105737"	"GRIK5"	"chr19"	41998321	42069498
"ENSG00000105732"	"ZNF574"	"chr19"	42068477	42081552
"ENSG00000028277"	"POU2F2"	"chr19"	42086110	42196585
"ENSG00000160570"	"DEDD2"	"chr19"	42198598	42220140
"ENSG00000079432"	"CIC"	"chr19"	42268537	42295797
"ENSG00000167619"	"TMEM145"	"chr19"	42313309	42325064
"ENSG00000105429"	"MEGF8"	"chr19"	42325609	42378769
"ENSG00000105427"	"CNFN"	"chr19"	42387019	42390297
"ENSG00000213904"	"LIPE-AS1"	"chr19"	42397128	42652355
"ENSG00000079435"	"LIPE"	"chr19"	42401514	42427388
"ENSG00000079385"	"CEACAM1"	"chr19"	42507304	42561234
"ENSG00000230558"	"CEACAMP2"	"chr19"	42560433	42561750
"ENSG00000124469"	"CEACAM8"	"chr19"	42580243	42595055
"ENSG00000233681"	"CEACAMP1"	"chr19"	42620212	42633034
"ENSG00000124467"	"PSG8"	"chr19"	42752686	42855691
"ENSG00000248257"	"PSG10P"	"chr19"	42839368	42855718
"ENSG00000105767"	"CADM4"	"chr19"	43622368	43639850
"ENSG00000104783"	"KCNN4"	"chr19"	43766533	43781257
"ENSG00000266903"	"CEACAM16-AS1"	"chr19"	44631573	44725217
"ENSG00000069399"	"BCL3"	"chr19"	44747705	44760044
"ENSG00000187244"	"BCAM"	"chr19"	44809071	44821421
"ENSG00000130204"	"TOMM40"	"chr19"	44890569	44903689
"ENSG00000104859"	"CLASRP"	"chr19"	45039045	45070956
"ENSG00000170684"	"ZNF296"	"chr19"	45071500	45076587
"ENSG00000007047"	"MARK4"	"chr19"	45079288	45305284
"ENSG00000104866"	"PPP1R37"	"chr19"	45091396	45148077
"ENSG00000179846"	"NKPD1"	"chr19"	45149750	45160815
"ENSG00000007255"	"TRAPPC6A"	"chr19"	45162928	45178237
"ENSG00000283632"	"EXOC3L2"	"chr19"	45212370	45245407
"ENSG00000104892"	"KLC3"	"chr19"	45333434	45351520
"ENSG00000125741"	"OPA3"	"chr19"	45527427	45602212
"ENSG00000177464"	"GPR4"	"chr19"	45589764	45602212
"ENSG00000010310"	"GIPR"	"chr19"	45668221	45683722
"ENSG00000237452"	"MEIOSIN"	"chr19"	45733439	45764541
"ENSG00000177045"	"SIX5"	"chr19"	45764785	45769252
"ENSG00000267395"	"DM1-AS"	"chr19"	45767796	45772504
"ENSG00000104936"	"DMPK"	"chr19"	45769709	45782552
"ENSG00000185800"	"DMWD"	"chr19"	45782947	45792845
"ENSG00000125755"	"SYMPK"	"chr19"	45815410	45863194
"ENSG00000104967"	"NOVA2"	"chr19"	45933734	45974044
"ENSG00000204866"	"IGFL2"	"chr19"	46143106	46161299
"ENSG00000268621"	"IGFL2-AS1"	"chr19"	46189029	46203160
"ENSG00000268879"	"IGFL1P1"	"chr19"	46196238	46197323
"ENSG00000188293"	"IGFL1"	"chr19"	46229742	46231243
"ENSG00000011485"	"PPP5C"	"chr19"	46347087	46392981
"ENSG00000230510"	"PPP5D1"	"chr19"	46480796	46601200
"ENSG00000204851"	"PNMA8B"	"chr19"	46486906	46495879
"ENSG00000160014"	"CALM3"	"chr19"	46601074	46610782
"ENSG00000160013"	"PTGIR"	"chr19"	46620468	46625089
"ENSG00000167414"	"GNG8"	"chr19"	46634076	46634685
"ENSG00000197380"	"DACT3"	"chr19"	46647551	46661182
"ENSG00000245598"	"DACT3-AS1"	"chr19"	46660364	46677447
"ENSG00000090372"	"STRN4"	"chr19"	46719511	46746994
"ENSG00000181027"	"FKRP"	"chr19"	46746046	46776988
"ENSG00000042753"	"AP2S1"	"chr19"	46838136	46850846
"ENSG00000130751"	"NPAS1"	"chr19"	47019837	47045775
"ENSG00000130749"	"ZC3H4"	"chr19"	47064187	47113776
"ENSG00000257704"	"INAFM1"	"chr19"	47274885	47275723
"ENSG00000105419"	"MEIS3"	"chr19"	47403124	47419527
"ENSG00000118160"	"SLC8A2"	"chr19"	47428017	47471893
"ENSG00000268061"	"NAPA-AS1"	"chr19"	47484282	47501597
"ENSG00000105402"	"NAPA"	"chr19"	47487637	47515091
"ENSG00000063169"	"BICRA"	"chr19"	47608196	47703277
"ENSG00000105486"	"LIG1"	"chr19"	48115445	48170603
"ENSG00000105467"	"SYNGR4"	"chr19"	48364367	48376377
"ENSG00000105464"	"GRIN2D"	"chr19"	48393668	48444931
"ENSG00000142235"	"LMTK3"	"chr19"	48485271	48513935
"ENSG00000088002"	"SULT2B1"	"chr19"	48552172	48599425
"ENSG00000105523"	"FAM83E"	"chr19"	48599961	48615076
"ENSG00000105538"	"RASIP1"	"chr19"	48720585	48740610
"ENSG00000174951"	"FUT1"	"chr19"	48748011	48755390
"ENSG00000183207"	"RUVBL2"	"chr19"	48993562	49015970
"ENSG00000104827"	"CGB3"	"chr19"	49022869	49024333
"ENSG00000213030"	"CGB8"	"chr19"	49047638	49049111
"ENSG00000196337"	"CGB7"	"chr19"	49054274	49058860
"ENSG00000225950"	"NTF4"	"chr19"	49061066	49065054
"ENSG00000104863"	"LIN7B"	"chr19"	49114324	49118460
"ENSG00000130529"	"TRPM4"	"chr19"	49157741	49211836
"ENSG00000161609"	"KASH5"	"chr19"	49388219	49417990
"ENSG00000261949"	"GFY"	"chr19"	49423749	49428987
"ENSG00000104888"	"SLC17A7"	"chr19"	49429401	49442360
"ENSG00000090554"	"FLT3LG"	"chr19"	49474207	49486231
"ENSG00000104870"	"FCGRT"	"chr19"	49506816	49526428
"ENSG00000142552"	"RCN3"	"chr19"	49528003	49546962
"ENSG00000196961"	"AP2A1"	"chr19"	49767001	49807114
"ENSG00000104960"	"PTOV1"	"chr19"	49850735	49860744
"ENSG00000269352"	"PTOV1-AS2"	"chr19"	49856970	49859289
"ENSG00000039650"	"PNKP"	"chr19"	49859882	49878351
"ENSG00000104951"	"IL4I1"	"chr19"	49889654	49929539
"ENSG00000161640"	"SIGLEC11"	"chr19"	49948985	49961172
"ENSG00000161643"	"SIGLEC16"	"chr19"	49969600	49975819
"ENSG00000105357"	"MYH14"	"chr19"	50188186	50310542
"ENSG00000131398"	"KCNC3"	"chr19"	50311937	50333515
"ENSG00000131408"	"NR1H2"	"chr19"	50329653	50383388
"ENSG00000062822"	"POLD1"	"chr19"	50384204	50418018
"ENSG00000269404"	"SPIB"	"chr19"	50418938	50431314
"ENSG00000161671"	"EMC10"	"chr19"	50476400	50490871
"ENSG00000204653"	"ASPDH"	"chr19"	50511600	50514690
"ENSG00000161681"	"SHANK1"	"chr19"	50659255	50719802
"ENSG00000105472"	"CLEC11A"	"chr19"	50723364	50725718
"ENSG00000167748"	"KLK1"	"chr19"	50819146	50823787
"ENSG00000142515"	"KLK3"	"chr19"	50854915	50860764
"ENSG00000167751"	"KLK2"	"chr19"	50861568	50880567
"ENSG00000197588"	"KLKP1"	"chr19"	50882096	50896398
"ENSG00000167749"	"KLK4"	"chr19"	50906352	50910738
"ENSG00000167754"	"KLK5"	"chr19"	50943303	50953093
"ENSG00000167755"	"KLK6"	"chr19"	50958631	50969673
"ENSG00000169035"	"KLK7"	"chr19"	50976468	50984099
"ENSG00000129455"	"KLK8"	"chr19"	50996007	51002711
"ENSG00000213022"	"KLK9"	"chr19"	51002508	51009634
"ENSG00000129451"	"KLK10"	"chr19"	51012739	51020175
"ENSG00000167757"	"KLK11"	"chr19"	51022216	51028039
"ENSG00000186474"	"KLK12"	"chr19"	51029092	51035230
"ENSG00000129437"	"KLK14"	"chr19"	51077495	51084245
"ENSG00000168995"	"SIGLEC7"	"chr19"	51142299	51153526
"ENSG00000171101"	"SIGLEC17P"	"chr19"	51167328	51173524
"ENSG00000268336"	"SIGLEC20P"	"chr19"	51184905	51190809
"ENSG00000269253"	"SIGLEC21P"	"chr19"	51198855	51201449
"ENSG00000105383"	"CD33"	"chr19"	51225064	51243860
"ENSG00000179213"	"SIGLECL1"	"chr19"	51246348	51269330
"ENSG00000142549"	"IGLON5"	"chr19"	51311644	51330891
"ENSG00000186806"	"VSIG10L"	"chr19"	51331536	51342139
"ENSG00000142512"	"SIGLEC10"	"chr19"	51410020	51417803
"ENSG00000255441"	"SIGLEC10-AS1"	"chr19"	51415724	51417425
"ENSG00000254521"	"SIGLEC12"	"chr19"	51491227	51501800
"ENSG00000105492"	"SIGLEC6"	"chr19"	51517819	51531856
"ENSG00000105501"	"SIGLEC5"	"chr19"	51611927	51645545
"ENSG00000254415"	"SIGLEC14"	"chr19"	51642553	51646801
"ENSG00000105509"	"HAS1"	"chr19"	51713112	51723991
"ENSG00000126583"	"PRKCG"	"chr19"	53879190	53907652
"ENSG00000105605"	"CACNG7"	"chr19"	53909278	53943950
"ENSG00000142408"	"CACNG8"	"chr19"	53962937	53990215
"ENSG00000130433"	"CACNG6"	"chr19"	53991637	54012666
"ENSG00000170909"	"OSCAR"	"chr19"	54094668	54102692
"ENSG00000125505"	"MBOAT7"	"chr19"	54173412	54189882
"ENSG00000170889"	"RPS9"	"chr19"	54200809	54249003
"ENSG00000204577"	"LILRB3"	"chr19"	54216278	54223506
"ENSG00000244482"	"LILRA6"	"chr19"	54236592	54242791
"ENSG00000105609"	"LILRB5"	"chr19"	54249421	54257301
"ENSG00000131042"	"LILRB2"	"chr19"	54273812	54281184
"ENSG00000187116"	"LILRA5"	"chr19"	54307070	54313166
"ENSG00000239961"	"LILRA4"	"chr19"	54333185	54339162
"ENSG00000167613"	"LAIR1"	"chr19"	54351384	54370558
"ENSG00000167614"	"TTYH1"	"chr19"	54415219	54436904
"ENSG00000275183"	"LENG9"	"chr19"	54461732	54463778
"ENSG00000167618"	"LAIR2"	"chr19"	54497879	54510687
"ENSG00000104970"	"KIR3DX1"	"chr19"	54532692	54545771
"ENSG00000239998"	"LILRA2"	"chr19"	54572920	54590287
"ENSG00000104974"	"LILRA1"	"chr19"	54593582	54602381
"ENSG00000104972"	"LILRB1"	"chr19"	54617158	54638022
"ENSG00000224730"	"LILRB1-AS1"	"chr19"	54635722	54638892
"ENSG00000186152"	"LILRP1"	"chr19"	54696604	54700905
"ENSG00000243772"	"KIR2DL3"	"chr19"	54738513	54753052
"ENSG00000242473"	"KIR2DP1"	"chr19"	54755023	54767371
"ENSG00000240403"	"KIR3DL2"	"chr19"	54850443	54867207
"ENSG00000167634"	"NLRP7"	"chr19"	54923509	54966312
"ENSG00000022556"	"NLRP2"	"chr19"	54953130	55001142
"ENSG00000267265"	"GP6-AS1"	"chr19"	55006193	55048086
"ENSG00000088053"	"GP6"	"chr19"	55013705	55038264
"ENSG00000160439"	"RDH13"	"chr19"	55039108	55071291
"ENSG00000131037"	"EPS8L1"	"chr19"	55072020	55087923
"ENSG00000125503"	"PPP1R12C"	"chr19"	55090914	55117637
"ENSG00000105048"	"TNNT1"	"chr19"	55132698	55149206
"ENSG00000267577"	"DNAAF3-AS1"	"chr19"	55158939	55177540
"ENSG00000129990"	"SYT5"	"chr19"	55171196	55180289
"ENSG00000080031"	"PTPRH"	"chr19"	55181247	55209506
"ENSG00000180089"	"TMEM86B"	"chr19"	55226638	55228784
"ENSG00000160469"	"BRSK1"	"chr19"	55282072	55312562
"ENSG00000180061"	"TMEM150B"	"chr19"	55312801	55334048
"ENSG00000133247"	"KMT5C"	"chr19"	55339853	55348121
"ENSG00000160471"	"COX6B2"	"chr19"	55349306	55354719
"ENSG00000180043"	"FAM71E2"	"chr19"	55354908	55363260
"ENSG00000095752"	"IL11"	"chr19"	55364382	55370463
"ENSG00000187902"	"SHISA7"	"chr19"	55428740	55443300
"ENSG00000063241"	"ISOC2"	"chr19"	55452985	55462343
"ENSG00000197483"	"ZNF628"	"chr19"	55476617	55484487
"ENSG00000090971"	"NAT14"	"chr19"	55485188	55487568
"ENSG00000179954"	"SSC5D"	"chr19"	55488404	55519099
"ENSG00000213015"	"ZNF580"	"chr19"	55635016	55643470
"ENSG00000171425"	"ZNF581"	"chr19"	55635459	55645623
"ENSG00000173581"	"CCDC106"	"chr19"	55641062	55653161
"ENSG00000063245"	"EPN1"	"chr19"	55675226	55709858
"ENSG00000223638"	"RFPL4A"	"chr19"	55759014	55763175
"ENSG00000171487"	"NLRP5"	"chr19"	55999726	56061810
"ENSG00000197487"	"GALP"	"chr19"	56176008	56185775
"ENSG00000189292"	"ALKAL2"	"chr2"	279558	288851
"ENSG00000233684"	"LINC01865"	"chr2"	317912	342118
"ENSG00000223985"	"LINC01874"	"chr2"	490944	503905
"ENSG00000237667"	"LINC01115"	"chr2"	779840	868608
"ENSG00000228799"	"LINC01939"	"chr2"	899462	905539
"ENSG00000172554"	"SNTG2"	"chr2"	950849	1367613
"ENSG00000115705"	"TPO"	"chr2"	1374066	1543711
"ENSG00000130508"	"PXDN"	"chr2"	1631887	1744852
"ENSG00000186487"	"MYT1L"	"chr2"	1789113	2331664
"ENSG00000234423"	"LINC01250"	"chr2"	2895048	3126026
"ENSG00000032389"	"EIPR1"	"chr2"	3188925	3377830
"ENSG00000171853"	"TRAPPC12"	"chr2"	3379675	3485094
"ENSG00000214866"	"DCDC2C"	"chr2"	3703575	3848008
"ENSG00000237401"	"LINC01304"	"chr2"	3957652	3974124
"ENSG00000224128"	"LINC01248"	"chr2"	5602505	5691488
"ENSG00000176887"	"SOX11"	"chr2"	5692384	5701385
"ENSG00000232044"	"SILC1"	"chr2"	5932543	6003510
"ENSG00000151692"	"RNF144A"	"chr2"	6917412	7068286
"ENSG00000236008"	"LINC01814"	"chr2"	8461703	8592903
"ENSG00000205795"	"CYS1"	"chr2"	10056780	10080944
"ENSG00000171848"	"RRM2"	"chr2"	10120698	10211725
"ENSG00000115756"	"HPCAL1"	"chr2"	10302889	10427617
"ENSG00000257135"	"ODC1-DT"	"chr2"	10448689	10457693
"ENSG00000143882"	"ATP6V1C2"	"chr2"	10721100	10785110
"ENSG00000143870"	"PDIA6"	"chr2"	10783391	10837977
"ENSG00000271952"	"LINC01954"	"chr2"	10844477	10885118
"ENSG00000162975"	"KCNF1"	"chr2"	10911934	10914225
"ENSG00000162976"	"SLC66A3"	"chr2"	11155198	11178870
"ENSG00000169006"	"NTSR2"	"chr2"	11658178	11670195
"ENSG00000071575"	"TRIB2"	"chr2"	12716910	12742734
"ENSG00000162981"	"LRATD1"	"chr2"	14632700	14650814
"ENSG00000231031"	"LINC01804"	"chr2"	15690782	15744339
"ENSG00000233718"	"MYCNOS"	"chr2"	15918350	15942249
"ENSG00000134323"	"MYCN"	"chr2"	15940550	15947007
"ENSG00000236289"	"GACAT3"	"chr2"	16013928	16087201
"ENSG00000197872"	"CYRIA"	"chr2"	16549459	16666331
"ENSG00000163032"	"VSNL1"	"chr2"	17539126	17657018
"ENSG00000132031"	"MATN3"	"chr2"	19992052	20012668
"ENSG00000115884"	"SDC1"	"chr2"	20200797	20225433
"ENSG00000118960"	"HS1BP3"	"chr2"	20560448	20651130
"ENSG00000143869"	"GDF7"	"chr2"	20667144	20679243
"ENSG00000119771"	"KLHL29"	"chr2"	23385179	23708611
"ENSG00000205639"	"MFSD2B"	"chr2"	24010081	24063321
"ENSG00000198399"	"ITSN2"	"chr2"	24202864	24360536
"ENSG00000138031"	"ADCY3"	"chr2"	24819169	24920237
"ENSG00000084710"	"EFR3B"	"chr2"	25042076	25159135
"ENSG00000119772"	"DNMT3A"	"chr2"	25227855	25342590
"ENSG00000138101"	"DTNB"	"chr2"	25377198	25673647
"ENSG00000157833"	"GAREM2"	"chr2"	26173088	26189663
"ENSG00000173567"	"ADGRF3"	"chr2"	26308173	26346817
"ENSG00000138018"	"SELENOI"	"chr2"	26308547	26395891
"ENSG00000157856"	"DRC1"	"chr2"	26401920	26456711
"ENSG00000115155"	"OTOF"	"chr2"	26457203	26558756
"ENSG00000173557"	"FAM166C"	"chr2"	26562585	26579532
"ENSG00000157884"	"CIB4"	"chr2"	26581205	26641366
"ENSG00000171303"	"KCNK3"	"chr2"	26692690	26733420
"ENSG00000157851"	"DPYSL5"	"chr2"	26847747	26950351
"ENSG00000084764"	"MAPRE3"	"chr2"	26970637	27027219
"ENSG00000138030"	"KHK"	"chr2"	27086747	27100762
"ENSG00000138028"	"CGREF1"	"chr2"	27098889	27119128
"ENSG00000138074"	"SLC5A6"	"chr2"	27199587	27212958
"ENSG00000084774"	"CAD"	"chr2"	27217369	27243943
"ENSG00000115194"	"SLC30A3"	"chr2"	27253684	27275817
"ENSG00000138100"	"TRIM54"	"chr2"	27282429	27307439
"ENSG00000115226"	"FNDC4"	"chr2"	27491883	27495200
"ENSG00000158019"	"BABAM2"	"chr2"	27889941	28338901
"ENSG00000163803"	"PLB1"	"chr2"	28457145	28644142
"ENSG00000189350"	"TOGARAM2"	"chr2"	28956611	29052230
"ENSG00000171094"	"ALK"	"chr2"	29192774	29921586
"ENSG00000162949"	"CAPN13"	"chr2"	30722771	30820542
"ENSG00000277893"	"SRD5A2"	"chr2"	31522480	31580938
"ENSG00000049323"	"LTBP1"	"chr2"	32946953	33399509
"ENSG00000163171"	"CDC42EP3"	"chr2"	37641882	37738468
"ENSG00000214691"	"LINC01913"	"chr2"	41860155	41894050
"ENSG00000162878"	"PKDCC"	"chr2"	42048021	42058517
"ENSG00000162882"	"HAAO"	"chr2"	42767089	42792593
"ENSG00000230587"	"LINC02580"	"chr2"	43092530	43132482
"ENSG00000143921"	"ABCG8"	"chr2"	43831942	43882988
"ENSG00000259439"	"LINC01833"	"chr2"	44921077	44939199
"ENSG00000138083"	"SIX3"	"chr2"	44941702	44946071
"ENSG00000170577"	"SIX2"	"chr2"	45005182	45009452
"ENSG00000205054"	"LINC01121"	"chr2"	45164816	45323397
"ENSG00000171132"	"PRKCE"	"chr2"	45651345	46187990
"ENSG00000222005"	"LINC01118"	"chr2"	46698940	46822804
"ENSG00000239332"	"LINC01119"	"chr2"	46816697	46859007
"ENSG00000068724"	"TTC7A"	"chr2"	46916157	47076137
"ENSG00000239605"	"STPG4"	"chr2"	47045538	47155308
"ENSG00000095002"	"MSH2"	"chr2"	47403067	47663146
"ENSG00000184261"	"KCNK12"	"chr2"	47509290	47570985
"ENSG00000179915"	"NRXN1"	"chr2"	49918503	51225575
"ENSG00000170634"	"ACYP2"	"chr2"	53970838	54305300
"ENSG00000115306"	"SPTBN1"	"chr2"	54456317	54671446
"ENSG00000214595"	"EML6"	"chr2"	54723499	54972025
"ENSG00000055813"	"CCDC85A"	"chr2"	56183990	56386172
"ENSG00000233723"	"LINC01122"	"chr2"	58427799	59063766
"ENSG00000232046"	"LINC01798"	"chr2"	66574030	66731223
"ENSG00000169621"	"APLF"	"chr2"	68467572	68655862
"ENSG00000169618"	"PROKR1"	"chr2"	68643579	68658251
"ENSG00000163235"	"TGFA"	"chr2"	70447284	70554193
"ENSG00000075340"	"ADD2"	"chr2"	70607618	70768225
"ENSG00000116035"	"VAX2"	"chr2"	70900576	70965373
"ENSG00000116039"	"ATP6V1B1"	"chr2"	70935900	70965431
"ENSG00000135636"	"DYSF"	"chr2"	71453561	71686763
"ENSG00000003137"	"CYP26B1"	"chr2"	72129238	72147862
"ENSG00000135638"	"EMX1"	"chr2"	72916260	72936071
"ENSG00000144040"	"SFXN5"	"chr2"	72942036	73075619
"ENSG00000135631"	"RAB11FIP5"	"chr2"	73073382	73156721
"ENSG00000163013"	"FBXO41"	"chr2"	73254682	73284478
"ENSG00000135625"	"EGR4"	"chr2"	73290929	73293701
"ENSG00000115318"	"LOXL3"	"chr2"	74532258	74555690
"ENSG00000115325"	"DOK1"	"chr2"	74549026	74557551
"ENSG00000115353"	"TACR1"	"chr2"	75046463	75199520
"ENSG00000066032"	"CTNNA2"	"chr2"	79185231	80648861
"ENSG00000162951"	"LRRTM1"	"chr2"	80288351	80304752
"ENSG00000168874"	"ATOH8"	"chr2"	85751344	85791383
"ENSG00000068615"	"REEP1"	"chr2"	86213993	86338083
"ENSG00000172086"	"KRCC1"	"chr2"	88027205	88064252
"ENSG00000163586"	"FABP1"	"chr2"	88122982	88128062
"ENSG00000144115"	"THNSL2"	"chr2"	88170295	88186636
"ENSG00000214336"	"FOXI3"	"chr2"	88446787	88452693
"ENSG00000184303"	"DRD5P1"	"chr2"	91684447	91685884
"ENSG00000214330"	"ABCD1P5"	"chr2"	91840601	91843802
"ENSG00000229089"	"ANKRD20A8P"	"chr2"	94791103	94857282
"ENSG00000278631"	"SOWAHCP5"	"chr2"	94861362	94862667
"ENSG00000163060"	"TEKT4"	"chr2"	94871430	94876823
"ENSG00000115041"	"KCNIP3"	"chr2"	95297327	95386077
"ENSG00000186281"	"GPAT2"	"chr2"	96021946	96039451
"ENSG00000274286"	"ADRA2B"	"chr2"	96112876	96116571
"ENSG00000188886"	"ASTL"	"chr2"	96122818	96138502
"ENSG00000158050"	"DUSP2"	"chr2"	96143169	96145440
"ENSG00000163121"	"NEURL3"	"chr2"	96497646	96508109
"ENSG00000196843"	"ARID5A"	"chr2"	96536743	96552634
"ENSG00000249715"	"FER1L5"	"chr2"	96642737	96704887
"ENSG00000158158"	"CNNM4"	"chr2"	96760902	96811874
"ENSG00000168763"	"CNNM3"	"chr2"	96816245	96835382
"ENSG00000168754"	"FAM178B"	"chr2"	96875882	96986580
"ENSG00000168658"	"VWA3B"	"chr2"	98087116	98313299
"ENSG00000144191"	"CNGA3"	"chr2"	98346188	98398601
"ENSG00000196872"	"CRACDL"	"chr2"	98793846	98936259
"ENSG00000144218"	"AFF3"	"chr2"	99545419	100192428
"ENSG00000170500"	"LONRF2"	"chr2"	100271875	100322501
"ENSG00000175874"	"CREG2"	"chr2"	101345550	101387503
"ENSG00000115594"	"IL1R1"	"chr2"	102064544	102179874
"ENSG00000115616"	"SLC9A2"	"chr2"	102619553	102711355
"ENSG00000256637"	"LINC01965"	"chr2"	103874310	104077778
"ENSG00000233639"	"PANTR1"	"chr2"	104794848	104853183
"ENSG00000144057"	"ST6GAL2"	"chr2"	106801600	106887108
"ENSG00000135960"	"EDAR"	"chr2"	108894471	108989372
"ENSG00000172985"	"SH3RF3"	"chr2"	109129205	109504634
"ENSG00000144063"	"MALL"	"chr2"	110083870	110116022
"ENSG00000153093"	"ACOXL"	"chr2"	110732539	111120610
"ENSG00000144130"	"NT5DC4"	"chr2"	112721486	112742879
"ENSG00000136696"	"IL36B"	"chr2"	113022089	113052867
"ENSG00000136695"	"IL36RN"	"chr2"	113058638	113065382
"ENSG00000125637"	"PSD4"	"chr2"	113157325	113209396
"ENSG00000189223"	"PAX8-AS1"	"chr2"	113211421	113276581
"ENSG00000125618"	"PAX8"	"chr2"	113215997	113278921
"ENSG00000184492"	"FOXD4L1"	"chr2"	113498665	113501155
"ENSG00000231943"	"PGM5P4-AS1"	"chr2"	113526836	113542694
"ENSG00000163064"	"EN1"	"chr2"	118842171	118847648
"ENSG00000019169"	"MARCO"	"chr2"	118942194	118994660
"ENSG00000144119"	"C1QL2"	"chr2"	119156243	119158751
"ENSG00000163083"	"INHBB"	"chr2"	120346136	120351803
"ENSG00000074047"	"GLI2"	"chr2"	120735623	120992653
"ENSG00000136717"	"BIN1"	"chr2"	127048027	127107288
"ENSG00000186684"	"CYP27C1"	"chr2"	127183832	127220313
"ENSG00000169994"	"MYO7B"	"chr2"	127535802	127637729
"ENSG00000072163"	"LIMS2"	"chr2"	127638381	127681786
"ENSG00000144230"	"GPR17"	"chr2"	127645864	127652639
"ENSG00000136720"	"HS6ST1"	"chr2"	128236716	128318868
"ENSG00000214100"	"PLAC9P1"	"chr2"	129922863	129934317
"ENSG00000237574"	"LINC01856"	"chr2"	129923177	129946703
"ENSG00000225449"	"RAB6C-AS1"	"chr2"	129966592	129980466
"ENSG00000222014"	"RAB6C"	"chr2"	129979666	129982738
"ENSG00000180178"	"FAR2P1"	"chr2"	130012065	130040560
"ENSG00000231240"	"KLF2P1"	"chr2"	130036958	130038422
"ENSG00000196604"	"POTEF"	"chr2"	130073535	130129222
"ENSG00000223760"	"MED15P9"	"chr2"	130129621	130139417
"ENSG00000152076"	"CCDC74B"	"chr2"	130139287	130145134
"ENSG00000213225"	"NOC2LP1"	"chr2"	130229379	130232106
"ENSG00000178162"	"FAR2P2"	"chr2"	130416755	130431363
"ENSG00000230646"	"KLF2P2"	"chr2"	130427731	130429225
"ENSG00000239402"	"CYP4F62P"	"chr2"	130429827	130441413
"ENSG00000196834"	"POTEI"	"chr2"	130459455	130509707
"ENSG00000152093"	"CFC1B"	"chr2"	130521197	130528604
"ENSG00000136698"	"CFC1"	"chr2"	130592165	130599575
"ENSG00000222038"	"POTEJ"	"chr2"	130611440	130658037
"ENSG00000240253"	"FAR2P3"	"chr2"	130690133	130718831
"ENSG00000223349"	"KLF2P3"	"chr2"	130692243	130693770
"ENSG00000178171"	"AMER3"	"chr2"	130755540	130768134
"ENSG00000136002"	"ARHGEF4"	"chr2"	130836914	131047263
"ENSG00000115762"	"PLEKHB2"	"chr2"	131104847	131353709
"ENSG00000248796"	"MED15P8"	"chr2"	131201142	131202941
"ENSG00000188219"	"POTEE"	"chr2"	131209536	131265278
"ENSG00000231431"	"FAR2P4"	"chr2"	131279290	131309068
"ENSG00000233087"	"RAB6D"	"chr2"	131360492	131364168
"ENSG00000163040"	"CCDC74A"	"chr2"	131527675	131533666
"ENSG00000287151"	"C2orf27A"	"chr2"	131647990	131767404
"ENSG00000152127"	"MGAT5"	"chr2"	134119983	134454621
"ENSG00000152128"	"TMEM163"	"chr2"	134455759	134719000
"ENSG00000121966"	"CXCR4"	"chr2"	136114349	136118149
"ENSG00000231079"	"KIF5C-AS1"	"chr2"	148866470	148888823
"ENSG00000168280"	"KIF5C"	"chr2"	148875227	149026759
"ENSG00000115963"	"RND3"	"chr2"	150468195	150539011
"ENSG00000182389"	"CACNB4"	"chr2"	151832771	152099167
"ENSG00000177519"	"RPRM"	"chr2"	153477338	153478762
"ENSG00000144278"	"GALNT13"	"chr2"	153871922	154453979
"ENSG00000078098"	"FAP"	"chr2"	162170684	162245151
"ENSG00000081479"	"LRP2"	"chr2"	169127109	169362534
"ENSG00000128683"	"GAD1"	"chr2"	170813213	170861151
"ENSG00000091409"	"ITGA6"	"chr2"	172427354	172506459
"ENSG00000228016"	"RAPGEF4-AS1"	"chr2"	172677141	172736206
"ENSG00000217236"	"SP9"	"chr2"	174334954	174338500
"ENSG00000128656"	"CHN1"	"chr2"	174798809	175005381
"ENSG00000174279"	"EVX2"	"chr2"	176077472	176083913
"ENSG00000128714"	"HOXD13"	"chr2"	176092721	176095944
"ENSG00000128713"	"HOXD11"	"chr2"	176104216	176109754
"ENSG00000128655"	"PDE11A"	"chr2"	177623244	178072777
"ENSG00000188452"	"CERKL"	"chr2"	181535041	181680665
"ENSG00000144339"	"TMEFF2"	"chr2"	191949043	192194933
"ENSG00000155760"	"FZD7"	"chr2"	202033855	202038441
